

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24200     26533 |   1.096
1980    31280     26333 |   0.842
1981    23049     23411 |   1.016
1982    19078     20136 |   1.055
1983    15164     18366 |   1.211
1984    21608     19646 |   0.909
1985    22278     22831 |   1.025
1986    23768     31206 |   1.313
1987    44661     46658 |   1.045
1988    78721     64180 |   0.815
1989    77163     66565 |   0.863
1990    47813     60084 |   1.257
1991    51599     56680 |   1.098
1992    68550     60522 |   0.883
1993    60905     58095 |   0.954
1994    47047     51386 |   1.092
1995    51450     49470 |   0.962
1996    57840     48471 |   0.838
1997    23656     34361 |   1.453
1998    24262     22804 |   0.940
1999    13244     17535 |   1.324
2000    14447     16504 |   1.142
2001        0     15792 | - NA - 

TERMINAL RUN CALIBRATION FOR URB
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    89200     87446 |   0.980
1980    76800     80979 |   1.054
1981    66700     80293 |   1.204
1982    79000     92852 |   1.175
1983    86000     67766 |   0.788
1984   131300    129778 |   0.988
1985   196500    218885 |   1.114
1986   281500    304212 |   1.081
1987   420600    390254 |   0.928
1988   339900    377224 |   1.110
1989   261400    187846 |   0.719
1990   153600    133345 |   0.868
1991   103500    126605 |   1.223
1992    81000     67774 |   0.837
1993   103000     89639 |   0.870
1994   132800    146159 |   1.101
1995   106500    106663 |   1.002
1996   143100    142081 |   0.993
1997   164900    184913 |   1.121
1998   142300    105039 |   0.738
1999   166700    149105 |   0.894
2000   155900    189993 |   1.219
2001   127200    150973 |   1.187

TERMINAL RUN CALIBRATION FOR SPR
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    95200     98705 |   1.037
1980    97800    104265 |   1.066
1981    86300     80395 |   0.932
1982   120800    122493 |   1.014
1983    28800     25983 |   0.902
1984    47500     45222 |   0.952
1985    33200     35084 |   1.057
1986    16600     17202 |   1.036
1987     9100      9129 |   1.003
1988    12000     13974 |   1.164
1989    26800     24969 |   0.932
1990    19000     19046 |   1.002
1991    52400     53806 |   1.027
1992    29500     28166 |   0.955
1993    16800     15899 |   0.946
1994    18500     18806 |   1.017
1995    33800     33181 |   0.982
