"CLB","Fc.Type","Stock","Year","Agency","Mod"
"1702B","TRS","NTH",2009,127131,121063
"1702B","TRS","NTH",2010,114904,112021
"1702B","TRS","NTH",2011,95091,96451
"1702B","TRS","NTH",2012,80339,88239
"1702B","TRS","NTH",2013,94564,95629
"1702B","TRS","NTH",2014,95975,110193
"1702B","TRS","NTH",2015,154141,122364
"1702B","TRS","NTH",2016,99656,112761
"1702B","TRS","NTH",2017,104935,108254
"1702B","TRS","FRE",1999,105473,123672
"1702B","TRS","FRE",2000,116233,127063
"1702B","TRS","FRE",2001,154175,152255
"1702B","TRS","FRE",2002,189335,175618
"1702B","TRS","FRE",2003,191700,180331
"1702B","TRS","FRE",2004,147813,159641
"1702B","TRS","FRE",2005,135177,156428
"1702B","TRS","FRE",2006,203460,159652
"1702B","TRS","FRE",2007,110555,142980
"1702B","TRS","FRE",2008,149048,141375
"1702B","TRS","FRE",2009,136201,153692
"1702B","TRS","FRE",2010,203948,170016
"1702B","TRS","FRE",2011,161748,152426
"1702B","TRS","FRE",2012,77285,126581
"1702B","TRS","FRE",2013,165166,145524
"1702B","TRS","FRE",2014,159656,173366
"1702B","TRS","FRE",2015,236551,187299
"1702B","TRS","FRE",2016,126975,171298
"1702B","TRS","FRE",2017,184349,180300
"1702B","TRS","RBH+RBT",1999,105402,100369
"1702B","TRS","RBH+RBT",2000,39227,40421
"1702B","TRS","RBH+RBT",2001,89209,94351
"1702B","TRS","RBH+RBT",2002,167548,163968
"1702B","TRS","RBH+RBT",2003,217662,189283
"1702B","TRS","RBH+RBT",2004,261827,278711
"1702B","TRS","RBH+RBT",2005,157906,162371
"1702B","TRS","RBH+RBT",2006,197866,192250
"1702B","TRS","RBH+RBT",2007,121232,126340
"1702B","TRS","RBH+RBT",2008,99325,106861
"1702B","TRS","RBH+RBT",2009,92944,74281
"1702B","TRS","RBH+RBT",2010,95366,105622
"1702B","TRS","RBH+RBT",2011,163092,149017
"1702B","TRS","RBH+RBT",2012,82131,120619
"1702B","TRS","RBH+RBT",2013,181138,129730
"1702B","TRS","RBH+RBT",2014,120473,161818
"1702B","TRS","RBH+RBT",2015,209263,149597
"1702B","TRS","RBH+RBT",2016,165589,201530
"1702B","TRS","RBH+RBT",2017,163568,172885
"1702B","TRS","GSH",1999,23015,25732
"1702B","TRS","GSH",2000,21322,18483
"1702B","TRS","GSH",2001,29633,32417
"1702B","TRS","GSH",2002,22064,26360
"1702B","TRS","GSH",2003,21496,19204
"1702B","TRS","GSH",2004,20852,21332
"1702B","TRS","GSH",2005,25941,23485
"1702B","TRS","GSH",2006,22109,25537
"1702B","TRS","GSH",2007,12733,11039
"1702B","TRS","GSH",2008,12011,15499
"1702B","TRS","GSH",2009,13380,12946
"1702B","TRS","GSH",2010,11605,10704
"1702B","TRS","GSH",2011,11480,11082
"1702B","TRS","GSH",2012,8462,7421
"1702B","TRS","GSH",2013,8242,7151
"1702B","TRS","GSH",2014,15665,16067
"1702B","TRS","GSH",2015,9888,13400
"1702B","TRS","GSH",2016,10236,8369
"1702B","TRS","GSH",2017,11820,10414
"1702B","TRS","NKF",1999,43709,42299
"1702B","TRS","NKF",2000,35630,44741
"1702B","TRS","NKF",2001,71437,59805
"1702B","TRS","NKF",2002,62519,58048
"1702B","TRS","NKF",2003,33339,38829
"1702B","TRS","NKF",2004,18118,23632
"1702B","TRS","NKF",2005,20703,23836
"1702B","TRS","NKF",2006,38455,34073
"1702B","TRS","NKF",2007,39390,37130
"1702B","TRS","NKF",2008,33750,34041
"1702B","TRS","NKF",2009,25884,30673
"1702B","TRS","NKF",2010,41239,37748
"1702B","TRS","NKF",2011,40678,40835
"1702B","TRS","NKF",2012,41557,40235
"1702B","TRS","NKF",2013,37525,37396
"1702B","TRS","NKF",2014,32053,32265
"1702B","TRS","NKF",2015,23696,24422
"1702B","TRS","NKF",2016,15988,19260
"1702B","TRS","NKF",2017,21997,21922
"1702B","TRS","PSF+PSY",1999,146471,123294
"1702B","TRS","PSF+PSY",2000,100425,122694
"1702B","TRS","PSF+PSY",2001,145822,133947
"1702B","TRS","PSF+PSY",2002,147447,144795
"1702B","TRS","PSF+PSY",2003,144177,146339
"1702B","TRS","PSF+PSY",2004,143731,147982
"1702B","TRS","PSF+PSY",2005,155325,161728
"1702B","TRS","PSF+PSY",2006,191623,189229
"1702B","TRS","PSF+PSY",2007,221341,193621
"1702B","TRS","PSF+PSY",2008,160626,171122
"1702B","TRS","PSF+PSY",2009,136695,145692
"1702B","TRS","PSF+PSY",2010,144296,147572
"1702B","TRS","PSF+PSY",2011,155941,161769
"1702B","TRS","PSF+PSY",2012,192714,176165
"1702B","TRS","PSF+PSY",2013,182276,159810
"1702B","TRS","PSF+PSY",2014,80047,113591
"1702B","TRS","PSF+PSY",2015,96003,102087
"1702B","TRS","PSF+PSY",2016,120939,118447
"1702B","TRS","PSF+PSY",2017,144238,142320
"1702B","TRS","PSN",1999,23215,21443
"1702B","TRS","PSN",2000,17882,21082
"1702B","TRS","PSN",2001,26107,23196
"1702B","TRS","PSN",2002,25009,21979
"1702B","TRS","PSN",2003,9233,15299
"1702B","TRS","PSN",2004,16023,13573
"1702B","TRS","PSN",2005,10903,12615
"1702B","TRS","PSN",2006,13095,12689
"1702B","TRS","PSN",2007,12094,13293
"1702B","TRS","PSN",2008,18637,14289
